,PROJECT NAME,BUILDER / DEVELOPERS FIRM NAME,FLAT TYPE,CARPET IN SQ FT,QUOTING PRICE,PARKING,POSSESSION DATE,TOWERS,AMENITIES,PROJECT SIZE,TOTAL STOREY,SALES PERSON / SOURCING PERSON NO.,AVAILIBILTY,LANDMARK,MENTION DATE OF CONFIRMATION ,REMARKS-1,REMARKS-2,REMARKS-3
Warje S. O,Awadh One,GPL,2 // 2.5 // 3 ," 963 // 1013,1026 // 1198-1292"," 120// 128, 135 // 153, 167  ",Cp:01,Jun-28,1,All (Except Swimming Pool),11 (1.75 1st Phase),2P+11,S: Samir : 9011136666// rathod sir : 9766612357,MULTIPLE,RMD COLLEGE OPP TO UNDERPASS ,,HE WILL SHARE ON WHATSAPP,,
Warje S. O,Majestique Aravali- G & H Towers,Majestique Landmark,2 // 3 ,"771, 801 // 1137, 1151","106 to 108 // 156,158","Cp:01- 2 Bhk, Cp-01-3 Bhk",2 Bhk Dec-27 // 3 Bhk Dec-29 // 2 Bhk June-30,7,All,5.1,4P+12,S: AKASH AGARWAL: 7741050060 // BHAVANA: 9028599522 // SANTOSH KADAM: 8308831011,MULTIPLE,"BEHIND ADITYA GARDEN CITY , NEAR -OVAL NEST SOCIETY",17.06.26,"TECH ENABLED HOMES, HOME AUTOMATION",Excevation,
Warje S. O,Ved Laurels,,2 // showroom // office ,"867 // 971 , 1052 // 370,765 ","102 // 440, 475 // 85.50 , 170",CP:01,AS PER RERA - sep27 BUILDER COMM-mar27,3,ALL,1.5 ACRES,2P+ 9,S: Aarti :  7030030123,"B - 1st , 2nd and 3rd floor availble ",NEAR BY DODKE PLAZZA,,A TOWER IS MAHADA ,,
Warje S. O,Lohia Jain ,,2 // 3 // 4,"861//1123,1397//1761,1828/1850","119/161,198/262 to 251","Cp:01, Cp:2, Cp:3",Dec-31,14,ALL,13,,:8484905776,,,,,,
